hash,blockNum,timestamp,date,eth_price,from,to,category_in,value_in,tokenId_in,asset_in,category_out,value_out,tokenId_out,asset_out
0xc30b27d3661a25177ff0328a37b48be818f82b358bdc53e67f349303b8aac2a7,0xcc7027,0x616455ec,2021-10-11,4339.18,0x895f88737925411fa81892cc32ea8d0c9442c19b,0x0d7c9db889858b9f6954608e36199104dd530da0,token,null,0x0000000000000000000000000000000000000000000000000000000000000339,LFLC
0xc30b27d3661a25177ff0328a37b48be818f82b358bdc53e67f349303b8aac2a7,0xcc7027,0x616455ec,2021-10-11,4339.18,0x0d7c9db889858b9f6954608e36199104dd530da0,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,,,,,external,0.1499,null,ETH
0x7d8098fe2ac005fb6c66aa5d96aa9e115ff33d8bc47d1908bc41784633ceb2c8,0xcc7035,0x6164569f,2021-10-11,4339.18,0x0d7c9db889858b9f6954608e36199104dd530da0,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,,,,,external,0.15,null,ETH
0xd76086c89b87ddd5962e5846b342c7beb4a0e1d645668d9992211c148d25ce7d,0xcc70fc,0x6164610a,2021-10-11,4339.18,0x0d7c9db889858b9f6954608e36199104dd530da0,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,,,,,external,0.14,null,ETH
0x9779e8764ed29e73c748ca5da12e5c432c20067a94d6da3b0e0755cfc88746fe,0xcc7160,0x616465f8,2021-10-11,4339.18,0x740cb31d87293e411fa9ef76bbea4658e0e8780a,0x0d7c9db889858b9f6954608e36199104dd530da0,token,null,0x0000000000000000000000000000000000000000000000000000000000002398,LFLC
0x9779e8764ed29e73c748ca5da12e5c432c20067a94d6da3b0e0755cfc88746fe,0xcc7160,0x616465f8,2021-10-11,4339.18,0x0d7c9db889858b9f6954608e36199104dd530da0,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,,,,,external,0.13,null,ETH
0x1dcc84bac143436e908c9aa8bb1386a3d10b7dde79b6b3000f2fb68d9663d62e,0xccc462,0x6168d25c,2021-10-15,4760.22,0xec44dbf6fe307d825717afd7bb5e05a1ff604c41,0x0d7c9db889858b9f6954608e36199104dd530da0,external,1,null,ETH
0x688f781c65350d54b39c75f1f66c1c0c776d452c69c97b6df95ddb86285df5fc,0xcd2119,0x616dba4a,2021-10-18,4636.19,0x0d7c9db889858b9f6954608e36199104dd530da0,0x34413cf5f58d55fef9e8b7309b645823a6589cca,,,,,external,2.5,null,ETH
0x370b0cfa2779a0ef9b77eaab1310651c6418314f0a6e0992ab5a66d7bde8c0cf,0xcd5143,0x61704418,2021-10-20,5017.01,0x0d7c9db889858b9f6954608e36199104dd530da0,0xb188f6e6870dec7cbadcc1a17e0c7f1cd9ab1d8b,,,,,external,0.00248766,null,ETH
0xd8ae3aa376af4829bcf021391b9b785d212c8e5bf4fc0acc3eb076a8461cebaa,0xcd8108,0x6172c930,2021-10-22,4909.59,0x0da2f3401296427d302326cdf208b79f83abc995,0x0d7c9db889858b9f6954608e36199104dd530da0,external,1.8,null,ETH
0xe07bb2c1b309cfb0b35b9bbe0d249f15d54a5efb247afdc3d146b881fe02461a,0xcd8117,0x6172c9d4,2021-10-22,4909.59,0x0d7c9db889858b9f6954608e36199104dd530da0,0x34413cf5f58d55fef9e8b7309b645823a6589cca,,,,,external,3.6,null,ETH
0xfd69a1dd003a6aa1d9843a7e7f0ca01c45866bd75d14c84bc9acf95f32b02a29,0xcd8157,0x6172ce09,2021-10-22,4909.59,0x0d7c9db889858b9f6954608e36199104dd530da0,0x0da2f3401296427d302326cdf208b79f83abc995,,,,,external,0.25,null,ETH
0x3ad64f45dd190024962f8fed547aa23b946f79d597689c042194603e5c547214,0xcdbb61,0x6175decf,2021-10-24,5029.64,0x0d7c9db889858b9f6954608e36199104dd530da0,0xa69f1ed1b56ce6c07e259799958a62c621ac9d56,,,,,external,0.09,null,ETH
0x6ceb2ad8b548dc5290f76308c1b73452920f9c7ada89bbe7e1f9151c04a7f553,0xce1acb,0x617ae7d1,2021-10-28,5286.17,0x0d7c9db889858b9f6954608e36199104dd530da0,0x34413cf5f58d55fef9e8b7309b645823a6589cca,,,,,external,0.85,null,ETH
